address,ip,port,protocol,anonymity,latency,ssl_supported,verified_exit,country_code,country_name,hosting,as_name,org,target_ok,target_latency
8.213.222.157:1080,8.213.222.157,1080,socks5,elite,2.415,True,False,TH,Thailand,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
184.182.240.211:4145,184.182.240.211,4145,socks5,elite,1.211,True,True,US,United States,residential,AS22773 Cox Communications Inc.,Cox Communications Inc.,False,0.0
8.221.139.222:9080,8.221.139.222,9080,socks5,elite,2.23,True,False,JP,Japan,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
47.121.182.88:8090,47.121.182.88,8090,socks5,elite,2.418,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
8.210.17.35:80,8.210.17.35,80,socks5,elite,2.314,True,False,HK,Hong Kong,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Hong Kong,False,0.0
103.75.118.84:1080,103.75.118.84,1080,socks5,elite,0.943,True,True,JP,Japan,residential,"AS136258 BrainStorm Network, Inc",Oneprovider.com,False,0.0
47.92.219.102:8888,47.92.219.102,8888,socks5,elite,2.442,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","Aliyun Computing Co., LTD",False,0.0
47.237.113.119:16044,47.237.113.119,16044,socks5,elite,2.36,True,False,SG,Singapore,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
47.91.120.190:8880,47.91.120.190,8880,socks5,elite,2.455,True,False,AE,United Arab Emirates,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",ALICLOUD-UAE,False,0.0
39.102.214.199:80,39.102.214.199,80,socks5,elite,2.423,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","Aliyun Computing Co., LTD",False,0.0
8.221.139.222:80,8.221.139.222,80,socks5,elite,2.222,True,False,JP,Japan,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
8.221.139.222:31433,8.221.139.222,31433,socks5,elite,2.23,True,False,JP,Japan,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
66.42.224.229:41679,66.42.224.229,41679,socks5,elite,0.275,True,True,US,United States,residential,AS6181 Cincinnati Bell Telephone Company LLC,Altafiber,False,0.0
65.21.252.66:10811,65.21.252.66,10811,socks5,elite,0.828,True,False,FI,Finland,datacenter,AS24940 Hetzner Online GmbH,Hetzner,False,0.0
8.221.139.222:4443,8.221.139.222,4443,socks5,elite,2.224,True,False,JP,Japan,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
8.130.54.67:1337,8.130.54.67,1337,socks5,elite,2.445,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
47.116.181.146:8090,47.116.181.146,8090,socks5,elite,2.412,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
84.201.144.65:10004,84.201.144.65,10004,socks5,elite,0.37,True,False,RU,Russia,residential,AS200350 Yandex.Cloud LLC,Yandex LLC,False,0.0
47.237.107.41:80,47.237.107.41,80,socks5,elite,2.354,True,False,SG,Singapore,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
47.237.107.41:8096,47.237.107.41,8096,socks5,elite,2.361,True,False,SG,Singapore,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
47.237.107.41:8083,47.237.107.41,8083,socks5,elite,2.36,True,False,SG,Singapore,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
47.237.107.41:9080,47.237.107.41,9080,socks5,elite,2.372,True,False,SG,Singapore,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
47.237.107.41:111,47.237.107.41,111,socks5,elite,2.363,True,False,SG,Singapore,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
8.221.139.222:8108,8.221.139.222,8108,socks5,elite,2.225,True,False,JP,Japan,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
39.102.208.189:8443,39.102.208.189,8443,socks5,elite,2.423,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","Aliyun Computing Co., LTD",False,0.0
8.148.22.214:9098,8.148.22.214,9098,socks5,elite,2.424,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
47.91.110.148:20,47.91.110.148,20,socks5,elite,2.45,True,False,AE,United Arab Emirates,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",ALICLOUD-UAE,False,0.0
47.250.159.65:8001,47.250.159.65,8001,socks5,elite,2.377,True,False,MY,Malaysia,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,False,0.0
8.211.195.173:8080,8.211.195.173,8080,socks5,elite,2.258,True,False,GB,United Kingdom,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
213.199.47.140:1080,213.199.47.140,1080,socks5,elite,0.59,True,False,FR,France,datacenter,AS51167 Contabo GmbH,Contabo GmbH,False,0.0
8.211.195.173:992,8.211.195.173,992,socks5,elite,2.278,True,False,GB,United Kingdom,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
